iter	RMSE
0	75512.22988
1	74594.91236
2	73715.19774
3	72835.373
4	71971.52647
5	71155.247
6	70330.81607
7	69488.94227
8	68813.57849
9	68024.09559
10	67265.18396
11	66546.59667
12	65829.57545
13	65170.49755
14	64446.52317
15	63698.18223
16	63012.15516
17	62340.16571
18	61647.45861
19	60954.82549
20	60350.89958
21	59758.23123
22	59195.82746
23	58644.48637
24	58059.27534
25	57442.59742
26	56898.15518
27	56362.82639
28	55884.71263
29	55349.67276
30	54856.45611
31	54323.56679
32	53848.63832
33	53366.50931
34	52932.04407
35	52458.80413
36	52017.36755
37	51599.39788
38	51135.31913
39	50650.83775
40	50207.0694
41	49781.74762
42	49353.1217
43	48951.27058
44	48556.88247
45	48149.36903
46	47744.21355
47	47342.5672
48	46973.70279
49	46613.92644
50	46265.78829
51	45882.76126
52	45548.69695
53	45215.70057
54	44909.38
55	44707.47717
56	44389.912
57	44017.40324
58	43698.86538
59	43427.90424
60	43130.82171
61	42839.20808
62	42533.18446
63	42239.79442
64	41945.99461
65	41698.64276
66	41412.78591
67	41162.21371
68	40893.80986
69	40630.77856
70	40355.44745
71	40102.64328
72	39820.59784
73	39544.52702
74	39326.5562
75	39090.29482
76	38850.75668
77	38590.90539
78	38337.70723
79	38107.02769
80	37921.9237
81	37713.40284
82	37481.07197
83	37244.8159
84	37063.57448
85	36872.39719
86	36645.73006
87	36446.79048
88	36305.10232
89	36091.87923
90	35914.83472
91	35704.32374
92	35480.96771
93	35313.72885
94	35112.32237
95	34918.46486
96	34713.76925
97	34501.20042
98	34336.58889
99	34172.90915
100	33995.83691
101	33846.66504
102	33633.52866
103	33467.57186
104	33322.77771
105	33183.35329
106	33009.00069
107	32827.31956
108	32665.2698
109	32522.20334
110	32363.97175
111	32263.43914
112	32083.89068
113	31922.36779
114	31808.20106
115	31645.1513
116	31527.23977
117	31365.26815
118	31265.81576
119	31155.76541
120	30994.735
121	30874.992
122	30755.6681
123	30651.00965
124	30546.5207
125	30421.16741
126	30289.75752
127	30195.49576
128	30072.47598
129	29948.74162
130	29828.10503
131	29722.70845
132	29626.76651
133	29498.08341
134	29397.46006
135	29269.1827
136	29197.36901
137	29088.83979
138	28967.38963
139	28863.40107
140	28753.70877
141	28676.42201
142	28593.07032
143	28502.77825
144	28413.55877
145	28332.29506
146	28258.7253
147	28145.73555
148	28047.20266
149	27969.21169
150	27901.39819
151	27807.26714
152	27724.27907
153	27641.28779
154	27569.13292
155	27485.76473
156	27387.67638
157	27299.70569
158	27201.61098
159	27128.00305
160	27060.54587
161	26996.22996
162	26958.1183
163	26872.33477
